date,open,high,low,close,volume,MACD,RSI
2020-07-13,423.800,431.690,401.000,402.090,11426874,15.960,61.711
2020-07-14,403.000,416.110,391.420,415.080,13568952,16.341,66.084
2020-07-15,416.570,417.320,402.230,409.090,10099623,15.975,62.537
2020-07-16,400.600,408.270,395.820,405.390,8624118,15.212,60.381
2020-07-17,409.020,409.940,403.510,408.060,6657116,14.653,61.415
2020-07-20,410.970,421.250,406.270,420.430,7121271,15.035,65.859
2020-07-21,420.520,422.397,411.470,413.140,6941671,14.582,61.373
2020-07-22,414.700,424.100,411.662,417.550,9182271,14.412,63.014
2020-07-23,418.000,421.880,401.250,405.190,10291586,13.129,55.850
2020-07-24,395.000,414.590,391.080,407.780,11833300,12.181,56.955
2020-07-27,409.250,417.670,408.710,416.860,7303255,12.023,60.669
2020-07-28,414.970,415.280,408.370,408.620,6790901,11.105,55.951
2020-07-29,415.632,420.650,413.880,418.620,7112692,11.057,60.015
2020-07-30,414.420,424.922,411.810,424.560,7722004,11.368,62.243
2020-07-31,422.530,430.660,417.320,424.590,9657150,11.484,62.255
2020-08-03,429.300,443.950,428.610,440.410,10325456,12.706,67.796
2020-08-04,442.000,449.110,436.240,449.110,7758390,14.212,70.373
2020-08-05,449.760,454.867,446.650,451.470,6262494,15.419,71.049
2020-08-06,453.990,454.320,447.150,453.420,6107892,16.344,71.626
2020-08-07,452.500,460.190,441.500,447.980,8562899,16.449,67.582
2020-08-10,453.370,456.330,434.260,446.600,10694908,16.234,66.556
2020-08-11,442.950,445.470,431.830,434.000,8862763,14.875,57.907
2020-08-12,439.630,458.680,438.330,457.610,11623573,15.524,66.652
2020-08-13,461.840,468.870,454.230,457.720,9361489,15.864,66.686
2020-08-14,461.200,468.190,457.620,462.560,9160904,16.336,68.253
2020-08-17,474.050,496.390,472.688,493.480,15532523,18.987,76.012
2020-08-18,498.000,499.840,483.450,490.430,12586308,20.603,74.089
2020-08-19,491.860,492.600,483.920,485.540,15565578,21.245,70.987
2020-08-20,479.000,495.000,475.150,485.640,23034733,21.514,71.014
2020-08-21,488.070,512.348,487.806,507.340,24997888,23.210,76.148
2020-08-24,515.350,516.500,500.300,508.810,12264115,24.392,76.453
2020-08-25,505.230,510.450,502.950,510.000,7226920,25.135,76.712
2020-08-26,511.969,514.740,507.110,510.920,8031073,25.504,76.923
2020-08-27,511.170,514.000,502.657,505.130,7940089,25.041,72.466
2020-08-28,506.997,525.920,505.700,525.910,13428964,26.050,77.504
2020-08-31,527.311,543.000,521.510,534.980,12520905,27.267,79.285
2020-09-01,539.200,559.750,537.460,552.840,12811849,29.335,82.264
2020-09-02,588.150,589.070,556.000,573.860,21850324,32.297,84.998
2020-09-03,553.145,555.380,515.150,520.620,23628153,30.003,59.837
2020-09-04,511.350,527.000,468.190,504.900,36792081,26.610,54.689
2020-09-08,469.380,502.000,468.170,476.520,19893289,21.384,46.853
2020-09-09,496.000,512.370,489.270,508.600,18405007,19.606,54.747
2020-09-10,519.570,522.610,486.680,492.470,17467111,16.702,50.671
2020-09-11,499.420,506.100,475.830,486.580,15923172,13.767,49.230
2020-09-14,523.240,532.600,505.246,514.890,30043624,13.568,55.745
2020-09-15,531.200,531.950,513.110,519.640,18188914,13.637,56.748
2020-09-16,518.290,523.710,500.550,500.580,13939986,12.015,51.686
2020-09-17,485.289,503.590,481.390,498.540,19812824,10.445,51.161
2020-09-18,503.750,505.300,479.550,487.570,17461548,8.221,48.313
2020-09-21,477.000,500.900,476.180,500.690,18126061,7.431,51.770
2020-09-22,503.000,505.920,486.222,505.510,16161302,7.112,53.014
2020-09-23,503.020,509.080,483.170,484.950,16175313,5.141,47.400
2020-09-24,482.890,502.780,480.560,493.920,18280008,4.253,49.893
2020-09-25,497.900,515.340,489.830,514.950,14700407,5.187,55.248
2020-09-28,521.610,522.070,510.000,521.400,14345228,6.374,56.774
2020-09-29,517.500,537.710,517.330,529.030,15575124,7.840,58.573
2020-09-30,526.300,544.900,526.010,541.220,17229603,9.872,61.342
2020-10-01,550.320,550.510,538.430,544.580,13125059,11.620,62.094
2020-10-02,529.000,540.780,522.040,522.490,13812397,11.094,54.577
2020-10-05,529.440,545.770,528.911,545.700,11995458,12.407,60.049
2020-10-06,553.200,565.680,546.600,549.460,19610496,13.595,60.872
2020-10-07,560.000,564.770,554.540,558.560,10452155,15.096,62.864
2020-10-08,563.000,563.380,550.320,553.550,9472522,15.701,61.022
2020-10-09,550.680,552.970,546.430,550.510,8672273,15.753,59.875
2020-10-12,559.580,573.880,556.500,569.040,10868595,17.093,64.281
2020-10-13,571.860,573.940,560.745,569.930,8615078,18.018,64.483
2020-10-14,571.620,573.710,558.400,563.810,6916178,18.050,61.894
2020-10-15,552.427,560.230,550.710,558.800,6680628,17.470,59.779
2020-10-16,561.470,564.860,551.700,552.460,6065990,16.310,57.118
2020-10-19,556.115,559.340,536.270,539.910,7451714,14.214,52.168
2020-10-20,543.300,551.990,540.280,545.820,5730301,12.882,54.182
2020-10-21,545.000,551.660,539.100,540.990,5489933,11.306,52.246
2020-10-22,540.900,544.470,529.270,534.440,7261986,9.420,49.655
2020-10-23,538.000,543.730,531.650,543.610,5837107,8.566,53.157
2020-10-26,537.080,547.712,521.540,525.650,8422358,6.367,46.356
2020-10-27,532.240,537.680,527.660,535.870,6262992,5.387,50.256
2020-10-28,527.920,530.400,504.360,505.080,9412967,2.102,40.663
2020-10-29,513.540,527.710,510.000,520.960,8002046,0.770,46.351
2020-10-30,514.000,517.455,492.000,501.360,10434901,-1.845,41.113
2020-11-02,506.310,513.466,495.800,503.230,7491413,-3.724,41.789
2020-11-03,508.340,524.200,504.110,520.780,6824062,-3.753,47.840
2020-11-04,535.570,553.100,533.475,551.770,10255732,-1.262,56.449
2020-11-05,566.500,573.560,559.640,566.400,7975708,1.872,59.821
2020-11-06,564.390,583.550,555.800,582.480,9584166,5.588,63.194
2020-11-09,582.100,587.660,544.430,545.230,14577450,5.465,52.251
2020-11-10,544.260,544.260,505.130,510.800,16101684,2.560,44.569
2020-11-11,522.150,537.395,517.930,536.720,10118586,2.322,50.473
2020-11-12,539.157,550.640,532.640,538.270,9165875,2.232,50.810
2020-11-13,545.091,546.750,522.370,531.880,8669058,1.627,49.319
2020-11-16,526.900,545.980,526.240,540.610,10344370,1.831,51.417
2020-11-17,542.100,543.850,532.155,536.890,7800699,1.673,50.458
2020-11-18,538.610,544.230,527.400,537.150,12773133,1.551,50.528
2020-11-19,528.510,539.500,524.000,537.610,14148355,1.475,50.659
2020-11-20,538.150,539.780,522.600,523.510,8527296,0.273,46.566
2020-11-23,526.845,535.300,520.620,525.600,9033855,-0.505,47.246
2020-11-24,525.700,526.480,515.400,518.310,8662499,-1.690,45.090
2020-11-25,521.300,530.776,520.800,529.390,6497918,-1.715,48.907
2020-11-27,535.000,536.300,526.822,530.450,4181880,-1.631,49.271
2020-11-30,530.600,536.500,518.894,536.060,7173900,-1.099,51.247
2020-12-01,539.690,541.150,529.130,535.600,7439282,-0.706,51.071
2020-12-02,534.020,546.938,529.370,541.780,7084030,0.102,53.383
2020-12-03,543.500,546.400,533.160,535.840,4988016,0.261,50.894
2020-12-04,537.940,542.400,535.548,542.330,5056085,0.900,53.448
2020-12-07,544.050,549.250,540.000,544.270,5581103,1.545,54.215
2020-12-08,543.230,543.950,531.260,534.000,6798022,1.214,49.562
2020-12-09,532.020,536.560,514.730,517.230,10032530,-0.398,43.062
2020-12-10,514.760,522.750,513.975,518.890,5194218,-1.523,43.847
2020-12-11,518.690,520.800,512.920,520.530,5231642,-2.257,44.659
2020-12-14,523.515,535.550,523.100,532.350,6753948,-1.863,50.242
2020-12-15,537.590,538.560,527.470,534.420,4837148,-1.368,51.171
2020-12-16,536.900,537.490,528.500,529.700,5577867,-1.341,48.928
2020-12-17,534.670,535.180,527.140,533.650,5784597,-0.990,50.869
